69.18333	34.51667	1	0.26491
19.9	60.11667	2	0.61055
19.81667	41.31667	3	0.94733
3.05	36.75	4	0.87645
-170.7	-14.26667	5	0.60008
1.51667	42.5	6	0.16737
13.21667	-8.83333	7	0.01725
-63.05	18.21667	8	0.00606
0	0	9	0.0256
-61.85	17.11667	10	0.45789
-58.66667	-34.58333	11	0.374
44.5	40.16667	12	0.89255
-70.03333	12.51667	13	0.87904
149.13333	-35.26667	14	0.82869
16.36667	48.2	15	0.16918
49.86667	40.38333	16	0.83938
-77.35	25.08333	17	0.46072
50.56667	26.23333	18	0.95612
90.4	23.71667	19	0.54006
-59.61667	13.1	20	0.60772
27.56667	53.9	21	0.98998
4.33333	50.83333	22	0.90043
-88.76667	17.25	23	0.08886
2.61667	6.48333	24	0.58882
-64.78333	32.28333	25	0.0508
89.63333	27.46667	26	0.24262
-68.15	-16.5	27	0.24685
18.41667	43.86667	28	0.0963
25.9	-24.63333	29	0.46058
-47.91667	-15.78333	30	0.48057
72.4	-7.3	31	0.36719
-64.61667	18.41667	32	0.72549
114.93333	4.88333	33	0.09111
23.31667	42.68333	34	0.31451
-1.51667	12.36667	35	0.60194
29.35	-3.36667	36	0.69119
104.91667	11.55	37	0.48189
11.51667	3.86667	38	0.61919
-75.7	45.41667	39	0.69726
-23.51667	14.91667	40	0.50748
-81.38333	19.3	41	0.07708
18.58333	4.36667	42	0.07126
15.03333	12.1	43	0.40003
-70.66667	-33.45	44	0.95612
116.38333	39.91667	45	0.89995
105.71667	-10.41667	46	0.56921
96.83333	-12.16667	47	0.7955
-74.08333	4.6	48	0.36067
43.23333	-11.7	49	0.52533
-159.76667	-21.2	50	0.33556
-84.08333	9.93333	51	0.96839
-5.26667	6.81667	52	0.51531
16	45.8	53	0.23599
-82.35	23.11667	54	0.05725
-68.91667	12.1	55	0.10413
33.36667	35.16667	56	0.28679
14.46667	50.08333	57	0.29987
15.3	-4.31667	58	0.35098
12.58333	55.66667	59	0.38309
43.15	11.58333	60	0.76045
-61.4	15.3	61	0.83155
-69.9	18.46667	62	0.75028
-78.5	-0.21667	63	0.48595
31.25	30.05	64	0.92266
-89.2	13.7	65	0.06479
8.78333	3.75	66	0.08789
38.93333	15.33333	67	0.61385
24.71667	59.43333	68	0.54668
38.7	9.03333	69	0.70708
-57.85	-51.7	70	0.31111
-6.76667	62	71	0.05416
158.15	6.91667	72	0.78416
178.41667	-18.13333	73	0.38237
24.93333	60.16667	74	0.45419
2.33333	48.86667	75	0.74029
-149.56667	-17.53333	76	0.28232
70.21667	-49.35	77	0.0234
9.45	0.38333	78	0.53579
44.83333	41.68333	79	0.64299
13.4	52.51667	80	0.54873
-0.21667	5.55	81	0.87135
-5.35	36.13333	82	0.61138
23.73333	37.98333	83	0.06404
