70.72	36.52	191	0.41
-144.1	69.47	9	0.4
142.9	28.23	10	0.45
130.39	31.2	159	0.47
70.34	38.7	10	0.45
126.68	26.75	107	0.46
-17.78	64.5	10	0.48
155.41	49.55	67	0.46
142.14	38.83	35	0.45
167.57	-15.32	109	0.52
141.93	38.91	38	0.63
124.97	6.77	10	0.47
126.17	4.04	10	0.51
-27.57	-56.27	107	0.49
24.99	34.42	10	0.42
150.7	46.95	177	0.42
27.82	39.1	10	0.4
-90.46	14.4	10	0.43
-67.15	19.26	24	0.43
-172.33	-19.66	10	0.47
142.52	41.94	52	0.43
151.67	-3.92	10	0.47
-77.89	-1.89	151	0.43
-174.47	-18.44	87	0.47
20.31	38.09	27	0.41
-68.82	-22.39	120	0.4
144.34	14.34	10	0.46
-177.65	-30.4	10	0.47
-177.58	-30.36	10	0.49
-177.56	-30.41	10	0.5
69.51	-23.71	10	0.48
125.49	0.34	71	0.5
93.5	31.59	32	0.43
-72.93	6.71	150	0.44
75.78	42.33	10	0.42
140.07	27.19	468	0.57
-67.95	-27.68	133	0.46
140.11	27.14	454	0.66
167.53	-44.98	74	0.44
69.52	-23.69	10	0.48
-153.38	56.01	15	0.43
-172.4	-19.46	10	0.47
15.4	41.84	10	0.44
-22.18	-1.03	10	0.49
145.91	18.66	150	0.46
71.24	36.33	126	0.41
69.43	-23.77	10	0.57
151.74	-6.19	10	0.45
-37.27	65.87	13	0.43
-37.68	65.89	10	0.45
142.82	10.55	26	0.46
152.44	46.78	70	0.44
71.17	36.91	98	0.42
-34.52	52.71	10	0.45
136.75	35.35	304	0.44
-34.68	52.76	10	0.5
152.23	-6.46	10	0.45
179.26	52.01	164	0.4
153.21	48.59	141	0.42
-84.09	9.36	48	0.4
-72.14	-15.46	112	0.42
151.61	-6.15	24	0.47
176.3	-38.97	73	0.41
141.22	44.47	233	0.4
179.73	51.95	138	0.41
-74.32	9.07	47	0.44
-77.1	-2.45	145	0.43
150.62	46.24	64	0.46
70.66	36.35	159	0.47
-153.42	56.04	8	0.53
-179.83	-23.88	514	0.46
20.57	37.46	10	0.4
128.57	26	10	0.53
-34.45	52.78	10	0.45
-70.23	-32.3	122	0.44
-34.79	52.64	10	0.45
160.04	52.51	58	0.42
161.27	-10.36	47	0.5
-73.8	-37.97	14	0.51
-112.06	40.74	10	0.419
-26.19	-60.32	35	0.47
94.02	22.78	10	0.59
9.43	44.73	10	0.45
178.36	-16.29	10	0.52
-27.3	-60.31	10	0.5
-85.71	16.93	10	0.6
118.96	-9.4	81	0.43
167.01	-13.15	196	0.49
