70.72	36.52	191	4.1
-144.1	69.47	9	4
142.9	28.23	10	4.5
130.39	31.2	159	4.7
70.34	38.7	10	4.5
126.68	26.75	107	4.6
-17.78	64.5	10	4.8
155.41	49.55	67	4.6
142.14	38.83	35	4.5
167.57	-15.32	109	5.2
141.93	38.91	38	6.3
124.97	6.77	10	4.7
126.17	4.04	10	5.1
-27.57	-56.27	107	4.9
24.99	34.42	10	4.2
150.7	46.95	177	4.2
27.82	39.1	10	4
-90.46	14.4	10	4.3
-67.15	19.26	24	4.3
-172.33	-19.66	10	4.7
142.52	41.94	52	4.3
151.67	-3.92	10	4.7
-77.89	-1.89	151	4.3
-174.47	-18.44	87	4.7
20.31	38.09	27	4.1
-68.82	-22.39	120	4
144.34	14.34	10	4.6
-177.65	-30.4	10	4.7
-177.58	-30.36	10	4.9
-177.56	-30.41	10	5
69.51	-23.71	10	4.8
125.49	0.34	71	5
93.5	31.59	32	4.3
-72.93	6.71	150	4.4
75.78	42.33	10	4.2
140.07	27.19	468	5.7
-67.95	-27.68	133	4.6
140.11	27.14	454	6.6
167.53	-44.98	74	4.4
69.52	-23.69	10	4.8
-153.38	56.01	15	4.3
-172.4	-19.46	10	4.7
15.4	41.84	10	4.4
-22.18	-1.03	10	4.9
145.91	18.66	150	4.6
71.24	36.33	126	4.1
69.43	-23.77	10	5.7
151.74	-6.19	10	4.5
-37.27	65.87	13	4.3
-37.68	65.89	10	4.5
142.82	10.55	26	4.6
152.44	46.78	70	4.4
71.17	36.91	98	4.2
-34.52	52.71	10	4.5
136.75	35.35	304	4.4
-34.68	52.76	10	5
152.23	-6.46	10	4.5
179.26	52.01	164	4
153.21	48.59	141	4.2
-84.09	9.36	48	4
-72.14	-15.46	112	4.2
151.61	-6.15	24	4.7
176.3	-38.97	73	4.1
141.22	44.47	233	4
179.73	51.95	138	4.1
-74.32	9.07	47	4.4
-77.1	-2.45	145	4.3
150.62	46.24	64	4.6
70.66	36.35	159	4.7
-153.42	56.04	8	5.3
-179.83	-23.88	514	4.6
20.57	37.46	10	4
128.57	26	10	5.3
-34.45	52.78	10	4.5
-70.23	-32.3	122	4.4
-34.79	52.64	10	4.5
160.04	52.51	58	4.2
161.27	-10.36	47	5
-73.8	-37.97	14	5.1
-112.06	40.74	10	4.19
-26.19	-60.32	35	4.7
94.02	22.78	10	5.9
9.43	44.73	10	4.5
178.36	-16.29	10	5.2
-27.3	-60.31	10	5
-85.71	16.93	10	6
118.96	-9.4	81	4.3
167.01	-13.15	196	4.9
-25.69	-58.02	60	5.4
-71.62	-30.84	35	4.6
119.34	-9.67	48	4.3
27.85	39.12	10	4.1
141.29	37.04	35	4.6
173.49	-40.14	164	4.2
116.94	-8.3	10	4.7
31.52	-10.39	10	4.5
152.67	-5.33	42	5.3
83.3	40.8	10	4.4
-79.8	-9.29	10	4.4
126.7	1.12	29	5.6
160.44	52.17	10	5.1
144.91	13.34	56	4.2
150.53	46.23	105	4.3
38.6	-8.36	10	4.7
-86.2	10.71	24	5.1
21.84	40.6	5	4.1
-74.43	9.05	53	5.7
-84.35	-40.98	10	4.6
112.54	-8.6	83	4.3
-94.17	15.21	35	5.1
-70.43	-19.67	67	4.6
35.53	35.81	10	4.4
35.51	35.89	10	4.7
128.88	26.26	10	5
128.93	26.24	10	5
148.72	-19.9	10	4.9
-173.39	-15.27	57	4.9
-112.06	40.73	9	4
122.07	19.97	10	5
-63.39	-26.91	570	5.3
125.12	11.35	123	4.7
-69.25	-20.2	100	4.8
